STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,40.77898,-73.96925,42.7,17-07-16,2.68,,0,0,0,,89,75,280,170,10.1,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,18-07-16,5.82,,0.35,0,0,,93,72,250,280,13,21.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,19-07-16,4.92,,0,0,0,,83,73,320,320,12.1,23,,,,,,
USW00094728,40.77898,-73.96925,42.7,20-07-16,3.13,,0,0,0,,85,68,80,80,10.1,14.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,21-07-16,5.14,,0,0,0,,90,71,220,240,12.1,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,22-07-16,6.49,,0,0,0,,94,74,280,240,16.1,25.9,,,,,,1
USW00094728,40.77898,-73.96925,42.7,23-07-16,4.92,,0,0,0,,96,80,290,280,15,23.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,24-07-16,4.03,,0,0,0,,94,75,240,240,8.9,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,25-07-16,3.36,,1,0,0,,93,73,60,30,18.1,31.1,1,,,,,
USW00094728,40.77898,-73.96925,42.7,26-07-16,4.25,,0,0,0,,89,72,290,290,12.1,21.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,27-07-16,2.01,,0,0,0,,91,74,250,280,8.1,11,,,,,,
USW00094728,40.77898,-73.96925,42.7,28-07-16,3.13,,0,0,0,,95,75,250,240,13,23,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,29-07-16,4.25,,1.09,0,0,,85,69,60,60,13,18.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,30-07-16,3.58,,0.25,0,0,,84,73,160,180,10.1,19.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,31-07-16,4.25,,1.08,0,0,,78,71,120,120,14.1,19.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,01-08-16,4.92,,0,0,0,,80,69,60,60,13,17,1,,,,,
USW00094728,40.77898,-73.96925,42.7,02-08-16,6.93,,0,0,0,,79,68,70,60,16.1,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,03-08-16,2.91,,0,0,0,,80,66,180,170,8.9,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,04-08-16,2.01,,0,0,0,,81,67,250,200,8.1,15,,,,,,
USW00094728,40.77898,-73.96925,42.7,05-08-16,3.8,,0,0,0,,83,69,240,240,10.1,19,,,,,,
USW00094728,40.77898,-73.96925,42.7,06-08-16,5.14,,0.05,0,0,,87,72,290,300,14.1,21.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,07-08-16,4.03,,0,0,0,,86,70,330,300,10.1,18.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,08-08-16,1.34,,0,0,0,,86,71,60,30,8.1,11,,,,,,
